        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202609010600,   3.631,9999.000,   0.500,9999.000,   4.131,   0.500,   4.131,   0.600,   4.231
202609010606,   3.501,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010612,   3.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010618,   3.236,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010624,   3.102,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010630,   2.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010636,   2.833,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010642,   2.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010648,   2.565,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010654,   2.432,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010700,   2.301,   3.148,   0.500,   0.347,   3.148,   0.500,   3.148,   0.600,   3.248
202609010706,   2.171,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010712,   2.043,   2.889,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010718,   1.919,   2.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010724,   1.796,   2.630,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010730,   1.677,   2.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010736,   1.562,   2.377,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609010742,   1.450,   2.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
